sourceType,itemId,finalDropChance,minAmount,maxAmount,comment
Box,10001,20,1,1,
Box,10002,10,1,1,
Box,10003,5,1,1,
Box,10004,1,1,1,
Box,11001,20,2,2,
Box,11002,10,2,2,
Box,11003,5,1,1,
Box,11004,1,1,1,
BasicEnemy,10001,10,1,1,
BasicEnemy,10002,5,1,1,
BasicEnemy,10003,1,1,1,
BasicEnemy,11001,10,2,2,
BasicEnemy,11002,5,2,2,
BasicEnemy,11003,1,1,1,
HeavyEnemy,10001,20,1,1,
HeavyEnemy,10002,10,1,1,
HeavyEnemy,10003,5,1,1,
HeavyEnemy,10004,50,1,1,
HeavyEnemy,11001,20,2,2,
HeavyEnemy,11002,10,2,2,
HeavyEnemy,11003,5,1,1,
HeavyEnemy,11004,50,1,1,
RangedEnemy,10001,30,1,1,
RangedEnemy,10002,10,1,1,
RangedEnemy,10003,5,1,1,
RangedEnemy,10004,5,1,1,
RangedEnemy,11001,30,2,2,
RangedEnemy,11002,10,2,2,
RangedEnemy,11003,5,1,1,
RangedEnemy,11004,50,1,1,
Box,21001,40,1,4,
Box,21002,15,1,1,
Box,21003,3,1,1,
Box,22001,40,1,2,
Box,22002,15,1,1,
Box,22003,7,1,1,
Box,23001,40,1,2,
Box,23002,15,1,1,
Box,23003,7,1,1,
Box,24002,5,1,1,
Box,24003,5,1,1,
Box,24004,5,1,1,
BasicEnemy,20001,100,1,5,
BasicEnemy,21001,100,1,4,
BasicEnemy,21002,10,1,1,
BasicEnemy,21003,1,1,1,
BasicEnemy,22001,30,1,2,
BasicEnemy,22002,10,1,1,
BasicEnemy,22003,1,1,1,
BasicEnemy,23001,30,1,2,
BasicEnemy,23002,10,1,1,
BasicEnemy,23003,1,1,1,
BasicEnemy,24002,1,1,1,
BasicEnemy,24003,1,1,1,
BasicEnemy,24004,1,1,1,
HeavyEnemy,20001,100,10,20,
HeavyEnemy,21001,30,1,4,
HeavyEnemy,21002,20,1,1,
HeavyEnemy,21003,5,1,1,
HeavyEnemy,22001,30,1,2,
HeavyEnemy,22002,20,1,1,
HeavyEnemy,22003,5,1,1,
HeavyEnemy,23001,30,1,2,
HeavyEnemy,23002,20,1,1,
HeavyEnemy,23003,5,1,1,
HeavyEnemy,24002,30,1,1,
HeavyEnemy,24003,30,1,1,
HeavyEnemy,24004,30,1,1,
RangedEnemy,20001,100,5,7,
RangedEnemy,21001,30,1,4,
RangedEnemy,21002,20,1,1,
RangedEnemy,21003,5,1,1,
RangedEnemy,22001,30,1,2,
RangedEnemy,22002,20,1,1,
RangedEnemy,22003,5,1,1,
RangedEnemy,23001,30,1,2,
RangedEnemy,23002,20,1,1,
RangedEnemy,23003,5,1,1,
RangedEnemy,24002,1,1,1,
RangedEnemy,24003,1,1,1,
RangedEnemy,24004,1,1,1,
