itemId,itemType,displayName,description,price,weight,rarity,iconKey,equipmentSlotType,gridWidth,gridHeight,stackable,maxStack,attackDamage,reloadSpeed,fireRate,magazineSize,projectileSpeed,automatic,pelletCount,maxSpread,range,maxDurability,durabilityCostPerHit,repairAmountPerCurrency,defense,healthRecovery,hungerRecovery,waterRecovery
10001,Weapon,기관권총,20발 연사. 탄속은 히트스캔 처리한다.,2,,,Assets/4.Sprite/Images/_Icons/Weapons/icon_pistol_LP.png,,1,1,false,1,3,2,1,20,0,true,1,,1,50,2,10,0,0,0,0
10002,Weapon,샷건,8발 단발. 1회 발사에 펠릿 6개가 나간다.,3,,,Assets/4.Sprite/Images/_Icons/Weapons/icon_shotgun-shells_LP.png,,1,1,false,1,5,2,3,8,0,false,6,,0.8,50,3,25,0,0,0,0
10003,Weapon,돌격소총,30발 연사.,5,,,Assets/4.Sprite/Images/_Icons/Weapons/icon_m4_LP.png,,1,1,false,1,8,2,2.5,30,0,true,1,,2.5,90,5,30,0,0,0,0
10004,Weapon,스나이퍼,5발 단발.,10,,,Assets/4.Sprite/Images/_Icons/Weapons/icon_ak-47_LP.png,,1,1,false,1,12,2,0.8,5,0,false,1,,5,120,8,30,0,0,0,0
11001,Ammo,기관권총 총알,1박스 20발. 사용 시 기관권총 탄약이 20발 늘어난다.,2,,,Assets/4.Sprite/Images/_Icons/Weapons/icon_pistol-bullets_LP.png,,1,1,false,1,,,,20,,,,,,,,,0,0,0,0
11002,Ammo,샷건 총알,1박스 20발. 사용 시 샷건 탄약이 20발 늘어난다.,3,,,Assets/4.Sprite/Images/_Icons/Weapons/icon_shotgun-shells_LP.png,,1,1,false,1,,,,20,,,,,,,,,0,0,0,0
11003,Ammo,돌격소총 총알,1박스 20발. 사용 시 돌격소총 탄약이 20발 늘어난다.,3,,,Assets/4.Sprite/Images/_Icons/Weapons/icon_pistol-magazine_LP.png,,1,1,false,1,,,,20,,,,,,,,,0,0,0,0
11004,Ammo,스나이퍼 총알,1박스 20발. 사용 시 스나이퍼 탄약이 20발 늘어난다.,5,,,Assets/4.Sprite/Images/_Icons/Weapons/icon_pistol-bullets-special_LP.png,,1,1,false,1,,,,20,,,,,,,,,0,0,0,0
13001,Equipment,구형 헬멧,피격 데미지를 1 차감한다.,3,,,Assets/4.Sprite/Images/_Icons/Survival/icon_gas-mask_LP.png,Helmet,1,1,false,1,,,,,,,,,,,,0,1,0,0,0
13002,Equipment,튼튼 헬멧,피격 데미지를 2 차감한다.,5,,,Assets/4.Sprite/Images/_Icons/Survival/icon_gas-mask_LP.png,Helmet,1,1,false,1,,,,,,,,,,,,0,2,0,0,0
